timestamp,request_id,user_id,component,action,input_data,output_data,duration_ms,status,error_message
2026-04-10T19:27:07.671664,4cc6d04f,,gui,topic_selected,"{""topic"": ""Человек и общество"", ""topic_id"": 0}",,0.00,success,
2026-04-10T19:27:08.040707,48041e9e,,database,search_rag_base,"{""query"": ""Объясни тему: Человек и общество""}","{""found"": 5}",360.03,success,
2026-04-10T19:27:34.022091,794f1fd8,,llm,api_call,"{""model"": ""gpt-4o-mini"", ""prompt_len"": 2646}","{""response_len"": 1926}",25970.09,success,
2026-04-10T19:27:34.023524,7d1768c7,,llm,generate,"{""model"": ""gpt-4o-mini"", ""prompt_length"": 2646, ""max_tokens"": 500}","{""response_length"": 1926, ""truncated_response"": ""**Тема: Человек и общество**\n\n**Главное:** Человек и общество — это взаимосвязь между людьми и их ок""}",25981.17,success,
2026-04-10T19:27:34.024567,7ccd3499,999999,rag,get_answer,"{""query"": ""Объясни тему: Человек и общество"", ""user_id"": 999999}","{""answer"": ""**Тема: Человек и общество**\n\n**Главное:** Человек и общество — это взаимосвязь между людьми и их ок"", ""chunks_found"": 5}",26344.72,success,
2026-04-10T19:27:34.028012,1216b39d,,gui,topic_loaded,"{""topic"": ""Человек и общество"", ""response_time_ms"": 26345.41082382202, ""from_cache"": false, ""answer_length"": 1926}",,0.00,success,
2026-04-10T19:27:34.040184,b5d08a64,,gui,topic_selected,"{""topic"": ""Человек и общество"", ""topic_id"": 0}",,0.00,success,
2026-04-10T19:27:34.042220,7a36db7f,999999,rag,get_answer_cached,"{""query"": ""Объясни тему: Человек и общество"", ""user_id"": 999999}","{""answer"": ""**Тема: Человек и общество**\n\n**Главное:** Человек и общество — это взаимосвязь между людьми и их ок""}",0.27,success,
2026-04-10T19:27:34.043446,97a6a748,,gui,topic_loaded,"{""topic"": ""Человек и общество"", ""response_time_ms"": 0.9126663208007812, ""from_cache"": true, ""answer_length"": 1926}",,0.00,success,
2026-04-10T19:27:34.044923,c9c7ad8f,,gui,topic_selected,"{""topic"": ""Человек и общество"", ""topic_id"": 0}",,0.00,success,
2026-04-10T19:27:34.047243,3eca37ac,999999,rag,get_answer_cached,"{""query"": ""Объясни тему: Человек и общество"", ""user_id"": 999999}","{""answer"": ""**Тема: Человек и общество**\n\n**Главное:** Человек и общество — это взаимосвязь между людьми и их ок""}",0.26,success,
2026-04-10T19:27:34.049137,6d2e496f,,gui,topic_loaded,"{""topic"": ""Человек и общество"", ""response_time_ms"": 1.1374950408935547, ""from_cache"": true, ""answer_length"": 1926}",,0.00,success,
2026-04-10T19:27:34.085007,010e5f7b,,gui,topic_selected,"{""topic"": ""Человек и общество"", ""topic_id"": 0}",,0.00,success,
2026-04-10T19:27:34.087865,4b78273a,999999,rag,get_answer_cached,"{""query"": ""Объясни тему: Человек и общество"", ""user_id"": 999999}","{""answer"": ""**Тема: Человек и общество**\n\n**Главное:** Человек и общество — это взаимосвязь между людьми и их ок""}",0.34,success,
2026-04-10T19:27:34.089550,f590c2c8,,gui,topic_loaded,"{""topic"": ""Человек и общество"", ""response_time_ms"": 1.222848892211914, ""from_cache"": true, ""answer_length"": 1926}",,0.00,success,
2026-04-10T19:27:43.655417,ddf47ade,,gui,topic_selected,"{""topic"": ""Социальная сфера"", ""topic_id"": 3}",,0.00,success,
2026-04-10T19:27:44.033916,31ae5cb0,,database,search_rag_base,"{""query"": ""Объясни тему: Социальная сфера""}","{""found"": 5}",375.71,success,
2026-04-10T19:28:03.985399,5f789d68,,llm,api_call,"{""model"": ""gpt-4o-mini"", ""prompt_len"": 2104}","{""response_len"": 1944}",19949.61,success,
2026-04-10T19:28:03.986831,11ae467d,,llm,generate,"{""model"": ""gpt-4o-mini"", ""prompt_length"": 2104, ""max_tokens"": 500}","{""response_length"": 1944, ""truncated_response"": ""### Социальная сфера\n\n**Главное:** Социальная сфера — это часть общественной жизни, которая связана ""}",19951.40,success,
2026-04-10T19:28:03.987563,dcef64e2,999999,rag,get_answer,"{""query"": ""Объясни тему: Социальная сфера"", ""user_id"": 999999}","{""answer"": ""### Социальная сфера\n\n**Главное:** Социальная сфера — это часть общественной жизни, которая связана "", ""chunks_found"": 5}",20330.23,success,
2026-04-10T19:28:03.989842,b9a0e68d,,gui,topic_loaded,"{""topic"": ""Социальная сфера"", ""response_time_ms"": 20330.623626708984, ""from_cache"": false, ""answer_length"": 1944}",,0.00,success,
2026-04-10T19:28:08.759322,8b7a1700,,gui,topic_selected,"{""topic"": ""Сфера духовной культуры"", ""topic_id"": 1}",,0.00,success,
2026-04-10T19:28:09.179910,a2f322eb,,database,search_rag_base,"{""query"": ""Объясни тему: Сфера духовной культуры""}","{""found"": 5}",417.54,success,
2026-04-10T19:28:28.827637,cf4c37c4,,llm,api_call,"{""model"": ""gpt-4o-mini"", ""prompt_len"": 1779}","{""response_len"": 2068}",19646.11,success,
2026-04-10T19:28:28.829027,6c97e9b5,,llm,generate,"{""model"": ""gpt-4o-mini"", ""prompt_length"": 1779, ""max_tokens"": 500}","{""response_length"": 2068, ""truncated_response"": ""**Сфера духовной культуры**\n\n**Главное:**\nСфера духовной культуры охватывает все, что связано с чело""}",19647.80,success,
2026-04-10T19:28:28.829757,ec6ef9b4,999999,rag,get_answer,"{""query"": ""Объясни тему: Сфера духовной культуры"", ""user_id"": 999999}","{""answer"": ""**Сфера духовной культуры**\n\n**Главное:**\nСфера духовной культуры охватывает все, что связано с чело"", ""chunks_found"": 5}",20068.25,success,
2026-04-10T19:28:28.832830,b9d6cc0b,,gui,topic_loaded,"{""topic"": ""Сфера духовной культуры"", ""response_time_ms"": 20068.934202194214, ""from_cache"": false, ""answer_length"": 2068}",,0.00,success,
2026-04-10T19:28:31.111269,1bc0e2e6,,gui,topic_selected,"{""topic"": ""Политика"", ""topic_id"": 4}",,0.00,success,
2026-04-10T19:28:31.497603,e89bac9a,,database,search_rag_base,"{""query"": ""Объясни тему: Политика""}","{""found"": 5}",383.48,success,
2026-04-10T19:28:48.186310,a916de3f,,llm,api_call,"{""model"": ""gpt-4o-mini"", ""prompt_len"": 2397}","{""response_len"": 2080}",16686.84,success,
2026-04-10T19:28:48.187712,3bab6019,,llm,generate,"{""model"": ""gpt-4o-mini"", ""prompt_length"": 2397, ""max_tokens"": 500}","{""response_length"": 2080, ""truncated_response"": ""**Политика: Основные Понятия и Роль в Обществе**\n\n1. **Главное:** Политика – это сфера общественной ""}",16688.66,success,
2026-04-10T19:28:48.188533,1e91d70b,999999,rag,get_answer,"{""query"": ""Объясни тему: Политика"", ""user_id"": 999999}","{""answer"": ""**Политика: Основные Понятия и Роль в Обществе**\n\n1. **Главное:** Политика – это сфера общественной "", ""chunks_found"": 5}",17075.34,success,
2026-04-10T19:28:48.191045,fc764a66,,gui,topic_loaded,"{""topic"": ""Политика"", ""response_time_ms"": 17075.735330581665, ""from_cache"": false, ""answer_length"": 2080}",,0.00,success,
2026-04-10T19:28:48.200528,94f0d83d,,gui,topic_selected,"{""topic"": ""Политика"", ""topic_id"": 4}",,0.00,success,
2026-04-10T19:28:48.204775,e473d84e,999999,rag,get_answer_cached,"{""query"": ""Объясни тему: Политика"", ""user_id"": 999999}","{""answer"": ""**Политика: Основные Понятия и Роль в Обществе**\n\n1. **Главное:** Политика – это сфера общественной ""}",0.28,success,
2026-04-10T19:28:48.206759,3c99960b,,gui,topic_loaded,"{""topic"": ""Политика"", ""response_time_ms"": 1.0280609130859375, ""from_cache"": true, ""answer_length"": 2080}",,0.00,success,
2026-04-10T19:28:48.225576,00fef172,,gui,topic_selected,"{""topic"": ""Политика"", ""topic_id"": 4}",,0.00,success,
2026-04-10T19:28:48.228102,0c048bb9,999999,rag,get_answer_cached,"{""query"": ""Объясни тему: Политика"", ""user_id"": 999999}","{""answer"": ""**Политика: Основные Понятия и Роль в Обществе**\n\n1. **Главное:** Политика – это сфера общественной ""}",0.31,success,
2026-04-10T19:28:48.229640,97d6323b,,gui,topic_loaded,"{""topic"": ""Политика"", ""response_time_ms"": 1.0941028594970703, ""from_cache"": true, ""answer_length"": 2080}",,0.00,success,
2026-04-10T19:28:48.231324,c55eabf6,,gui,topic_selected,"{""topic"": ""Политика"", ""topic_id"": 4}",,0.00,success,
2026-04-10T19:28:48.233928,5a234b30,999999,rag,get_answer_cached,"{""query"": ""Объясни тему: Политика"", ""user_id"": 999999}","{""answer"": ""**Политика: Основные Понятия и Роль в Обществе**\n\n1. **Главное:** Политика – это сфера общественной ""}",0.40,success,
2026-04-10T19:28:48.235767,1d6733b8,,gui,topic_loaded,"{""topic"": ""Политика"", ""response_time_ms"": 1.5177726745605469, ""from_cache"": true, ""answer_length"": 2080}",,0.00,success,
2026-04-10T19:28:51.679076,f8e44477,,gui,topic_selected,"{""topic"": ""Экономика"", ""topic_id"": 2}",,0.00,success,
2026-04-10T19:28:52.176076,8193da86,,database,search_rag_base,"{""query"": ""Объясни тему: Экономика""}","{""found"": 5}",494.27,success,
2026-04-10T19:29:18.821234,b7dba2ea,,llm,api_call,"{""model"": ""gpt-4o-mini"", ""prompt_len"": 1699}","{""response_len"": 2038}",26643.43,success,
2026-04-10T19:29:18.823015,354ff1d0,,llm,generate,"{""model"": ""gpt-4o-mini"", ""prompt_length"": 1699, ""max_tokens"": 500}","{""response_length"": 2038, ""truncated_response"": ""**Тема: Экономика**\n\n**Главное:** Экономика — это наука о том, как люди используют ограниченные ресу""}",26645.46,success,
2026-04-10T19:29:18.823906,694a4981,999999,rag,get_answer,"{""query"": ""Объясни тему: Экономика"", ""user_id"": 999999}","{""answer"": ""**Тема: Экономика**\n\n**Главное:** Экономика — это наука о том, как люди используют ограниченные ресу"", ""chunks_found"": 4}",27142.91,success,
2026-04-10T19:29:18.826622,daba2f77,,gui,topic_loaded,"{""topic"": ""Экономика"", ""response_time_ms"": 27143.399000167847, ""from_cache"": false, ""answer_length"": 2038}",,0.00,success,
2026-04-10T19:29:18.838509,8c5b5008,,gui,topic_selected,"{""topic"": ""Экономика"", ""topic_id"": 2}",,0.00,success,
